# IBL IS TURB X S THETA DSTAR HK UE CF RT AMPL
  37 1 F  0.419151E+00  0.300000E-01  0.428457E-03  0.123135E-02  0.287392E+01  0.113130E+01  0.556749E-03  0.484713E+03  0.301452E+01
  38 1 F  0.438496E+00  0.300000E-01  0.443049E-03  0.128727E-02  0.290549E+01  0.112630E+01  0.511226E-03  0.499008E+03  0.333266E+01
  39 1 F  0.457965E+00  0.300000E-01  0.457713E-03  0.134535E-02  0.293930E+01  0.112128E+01  0.467397E-03  0.513226E+03  0.367125E+01
  40 1 F  0.477531E+00  0.300000E-01  0.472476E-03  0.140643E-02  0.297673E+01  0.111624E+01  0.424157E-03  0.527394E+03  0.403178E+01
  41 1 F  0.497162E+00  0.300000E-01  0.487320E-03  0.147084E-02  0.301822E+01  0.111118E+01  0.381458E-03  0.541499E+03  0.441620E+01
  42 1 F  0.516829E+00  0.300000E-01  0.502247E-03  0.153940E-02  0.306502E+01  0.110611E+01  0.338767E-03  0.555542E+03  0.482673E+01
  43 1 F  0.536502E+00  0.300000E-01  0.517239E-03  0.161292E-02  0.311833E+01  0.110107E+01  0.295836E-03  0.569514E+03  0.526605E+01
  44 1 F  0.556149E+00  0.300000E-01  0.532344E-03  0.169406E-02  0.318227E+01  0.109602E+01  0.250966E-03  0.583457E+03  0.573817E+01
  45 1 F  0.575742E+00  0.300000E-01  0.547521E-03  0.178495E-02  0.326006E+01  0.109099E+01  0.203889E-03  0.597340E+03  0.624859E+01
  46 1 F  0.595249E+00  0.300000E-01  0.562827E-03  0.189299E-02  0.336335E+01  0.108598E+01  0.151373E-03  0.611218E+03  0.680609E+01
  47 1 F  0.614640E+00  0.300000E-01  0.578286E-03  0.203605E-02  0.352084E+01  0.108098E+01  0.874523E-04  0.625118E+03  0.742844E+01
  48 1 F  0.633886E+00  0.300000E-01  0.593323E-03  0.268139E-02  0.451927E+01  0.107633E+01 -0.901564E-04  0.638611E+03  0.829921E+01
  49 1 F  0.652956E+00  0.579087E-01  0.638719E-03  0.231498E-02  0.362441E+01  0.106324E+01  0.496649E-04  0.679108E+03  0.919515E+01
  50 1 T  0.671822E+00  0.682610E-01  0.815756E-03  0.203939E-02  0.250000E+01  0.101385E+01  0.710130E-03  0.827055E+03  0.919515E+01
  51 1 T  0.690453E+00  0.579961E-01  0.693307E-03  0.112824E-02  0.162734E+01  0.106111E+01  0.323726E-02  0.735672E+03  0.919515E+01
  52 1 T  0.708821E+00  0.522519E-01  0.738312E-03  0.110094E-02  0.149116E+01  0.105612E+01  0.398026E-02  0.779749E+03  0.919515E+01
  53 1 T  0.726897E+00  0.485172E-01  0.788053E-03  0.113298E-02  0.143770E+01  0.105114E+01  0.426477E-02  0.828352E+03  0.919515E+01
  54 1 T  0.744653E+00  0.460329E-01  0.839657E-03  0.118897E-02  0.141602E+01  0.104609E+01  0.433850E-02  0.878356E+03  0.919515E+01
  55 1 T  0.762062E+00  0.443147E-01  0.891680E-03  0.125556E-02  0.140809E+01  0.104102E+01  0.431916E-02  0.928257E+03  0.919515E+01
  56 1 T  0.779097E+00  0.430920E-01  0.943664E-03  0.132746E-02  0.140671E+01  0.103589E+01  0.425863E-02  0.977529E+03  0.919515E+01
  57 1 T  0.795731E+00  0.422065E-01  0.995459E-03  0.140222E-02  0.140862E+01  0.103066E+01  0.418082E-02  0.102598E+04  0.919515E+01
  58 1 T  0.811938E+00  0.415593E-01  0.104698E-02  0.147854E-02  0.141219E+01  0.102536E+01  0.409734E-02  0.107352E+04  0.919515E+01
